path	format	mode	bit_depth	width	height
Lenna.png	PNG	RGB	8	512	512
Lenna16.png	PNG	RGB	16	512	512
rgb_test_image.jpeg	JPEG	RGB	8	512	512
freedigitalphotos\pebbles.jpg	JPEG	RGB	8	900	540
alphatest.png	PNG	RGBA	8	256	256
Mysecret_10icons_by_Artdesigner\diamond_by_Artdesigner.lv.png	PNG	RGBA	8	220	220
Mysecret_10icons_by_Artdesigner\lily_by_Artdesigner.lv.png	PNG	RGBA	8	220	220
Mysecret_10icons_by_Artdesigner\teddy_by_Artdesigner.lv.png	PNG	RGBA	8	220	220
med_gridCMYK.tiff	TIFF	CMYK	8	640	480
sml_gridCMYK.tiff	TIFF	CMYK	8	192	144
cmyk_test_image.jpg	JPEG	CMYK	8	384	256
cmy_grey_patch_L64.tiff	TIFF	CMYK	8	390	400
cmy_grey_patch_L32.tiff	TIFF	CMYK	8	390	400
greyscale.tiff	TIFF	L	8	512	256
greyscaleBar.tiff	TIFF	L	8	512	256
greyscaleBar1.tiff	TIFF	L	8	512	256
greyscaleBar2.tiff	TIFF	L	8	512	256
greyscaleBar3.tiff	TIFF	L	8	512	256
page_of_a.tiff	TIFF	RGB	8	720	960
format_probe.bmp	BMP	L	8	320	192
